P18	CDKN2C
CACNA1D	Cav1.3
CACNA1F	Cav1.4
ADCY2	ADCY1, COPD
PGRMC1	SERBP1, CYP51A1, CYP3A4, CYP7A1, CYP21A2, SERBP1, PGRMC2
LYVE1	CD44
KDELR1	ARFGAP1, KDELR2, KDELR3
ADRM1	PSMD2, PSMD1, PSMD4, PSMD4
WWP2	SCNN1B, ATN1, SMAD7
NISCH	IRS4, IRS4
PACSIN2	PACSIN1, PACSIN3
DTX2	UBE2D1
ATP6V1G3	ATPase
CRMP1	DPYSL2
CSTF1	BARD1
CSTF3	CSTF2
E4F1	P53
EIF1AX	IPO13
ELK3	TCF3
EYA2	GNAI2, GNAZ
ACSL4	ACSL3, ELAVL1, HECW2, PARK2, SPG20, SUMO2, TP53, TUBGCP3, YWHAQ
MRAS	RRAS, RRAS2, HRAS, RAP2A, ERK2, Oct-4, JNK, SCRIB, SHOC2, RASSF5, RALGDS
ATF5	CREB, DISC1, TRIB3
ABLIM3	LIMS1
KIFAP3	RAP1GDS1, SMC2
BTLA	PDCD1, CTLA4, VTCN1, TNFRSF14, CD8
SPRED2	SPRY1, MAPK1
FOSB	FOSL1, FOSL2, c-Jun, CREB, EHMT2, HDAC1, HDAC2, HDAC3, HDAC8, BDNF
FOSL2	FOSB, FOSL1
SEPT8	PFTK1, SEPT5
EXOC7	EXOC4, RHOQ
CBLC	FYN
HIGD1A	OPA1, AIFM1, OPA1
GRASP55	GRASP65, GRASP55, BLZF1, TMED2, GOLGA2
RAB11FIP5	RAB11A, RAB25
APPL1	EEA1, GIPC1, AKT2, RAB21, OCRL
HIP2	RNF2
HLA-DQA2	HLA-DQA1
PRMT2	HNRPUL1
IDH3A	IDH1, IDH2, IDH2, IDH3B, IDH3G, HIF-1, IDH1, IDH2, IDH3B, IDH3G
TIMM13	TIMM8A
INVS	NPHP1
GNMT	Huh7
APOBEC3C	APOBEC1
UBQLN2	ATPase, STCH, UBQLN1, UBQLN4, C9orf72, HERPUD1, UBE3A
EFEMP2	P53
ARL2	TBCD, PDE6D
ITIH4	ITIH1, ITIH2, ITIH3
LY9	SH2D1A
NBR1	FEZ1
MEOX2	PAX1, PAX3
MFNG	RFNG, LFNG
NAB2	STAT6
NDUFS2	NDUFAF7, NDUFS3, MKLN1, EGR2, HMOX2, TNFRSF14, NDUFS1
ATP12A	ATPase
NFIX	CHI3L1, STAT3
NFKBIE	REL, NFKB1, NFKB2, REL, RELA, RELB, NFKBIA, NFKBIB, IKBKA, IKBKB, STAT6, NFATC1, NFKB2, RELA, NFKB1, REL
NHP2L1	RAD17
P2RX4	P2RX1, P2RX2, CCL21, CCL2
VPS28	TSG101, VPS37A, TSG101
DDX47	ATPase
PAIP2	PABPC1
ZBTB7A	BCL6
KLF13	RANTES, PCAF
PEX6	ATPase, PEX1, PEX26, PEX5
PEX10	PEX12, PEX19
SLC25A3	PPIF
BTBD1	TOP1
FANCL	CHEK2, FANCD2, BRCA1, RAD51, RAD51L1, RAD51C, RAD51L3, XRCC2, RAD51, BRCA1, FANCD2, FANCB, FANCA, FANCB, FANCE, FANCF, FANCG, FANCM, FANCD2
BTBD2	TOP1
PARVA	PARVB, PARVG
CDK5RAP2	CDC2, CDK5R1
CAND1	CUL1, CUL2, CUL3, CUL4A, CUL4B, DCUN1D1, RBX1
HDAC8	PPARGC1A
PTPRD	PTPRS
RAB3B	RPH3A
RECQL	KPNA4
REV3L	MAD2L2
NLGN4X	DLG4
NLRC4	CIITA, NALP3, PYCARD, APAF1, NOD1, NOD2
RIC8A	GNAO1, GNA13, GNAQ, GNAI2, GNAI1, GNAI3
BNC1	PICK1
BNIP3L	STEAP3
SFRP4	IL1B
SPIB	MAPK3, MAPK8
SRPK2	U2AF2
TADA2L	GCN5L2
UPF3A	RBM8A, UPF2, UPF1
WNK4	ROMK
ICAM5	PSEN1
XIST	Dicer, SUZ12, BRCA1
MAPKAPK3	MAPK14, TCF3
SHFM1	BRCA2
DNAJC5	ATPase, SYT9, ZDHHC17, SGTA, HSPA8
MYST1	MORF4L1
KCNAB2	KCNA2
RGS20	GNAO1, GNAZ
PPAP2B	KLF2
RFXANK	CIITA, RFXAP, CIITA
EIF3F	EIF3A
FOXH1	DRAP1
RPS6KA4	CREB1, MAPK14
ATP6V0E1	ATPase
MTMR6	MTMR9
RABEP1	AP1G1, GGA1, GGA2, RAB4A, RAB5A
ASIC3	LIN7B, GOPC, MAGI1
CNOT8	BTG2, BTG1, CNOT1, CNOT3
PPP1R9B	PPP1CB, PPP1CA, PPP1CC, PPP1R2
ALG2	ANXA7, ANXA11
CDH15	ARVCF
KIF3B	KIF3A, RAB4A
MED17	PPARGC1A, BRCA1
HAND2	HAND1, GATA4, DLX5, DLX6, GATA4, PPP2R5D, PHOX2A, TWIST1, TWIST2, TWIST1, TWIST2
BAG2	HSPA8
FEZ1	NBR1, DISC1
RIMS2	YWHAH, RAPGEF4, UNC13A
RAB11FIP3	RAB11A
RASSF2	KRAS
DHX38	proteins
CASP8AP2	TRAF2
ARPC5	ARPC4
ARPC4	ARPC5
TRAP1	EXT1
HNRNPR	SMN1, PRMT1
TGS1	EP300, MED1, NCOA6
CDX1	homeobox
ANP32B	ANP32A, ANP32C, ANP32D, ANP32E
TRAF3IP2	IKBKG
FGL2	CD4, CD8, CD25, CD80, FCGR2B
FASTK	TIA1
GLMN	FKBP52, FKBP1A
MAP4K5	CRKL, TRAF2
CLCN4	SHROOM2, OA1
CREBL1	CREB
EXOC3	DLG3, EXOC4
GABARAPL2	ULK1, ATG4B, FAM135B
SSX2IP	MLLT4
DYNC1I1	DYNLL1
ARID3A	E2F1, IPO9, ARID3B
ECHS1	STAT3
PHC2	MAPKAPK2, PHC1, BMI1, MCRS1
FHL3	CREB1, CTBP2, FHL2, ITGA7, KLF3
PUF60	U2AF2
DLGAP4	DLG4
NLGN1	NRXN1, DLG4, NRXN1, NRXN2, NRXN3
RAB3GAP1	RAB3GAP2
M-RIP	RHOA
FBXW11	CD4, NF-kappaB, DLG1, NFKB2, RELA, CDC34, CUL1, WEE1, CLSPN, REST, PDCD4
SMG6	SMG5, SMG7, UPF1, UPF1, SMG1
PLXNB2	ARHGEF11
SENP6	RANGAP1
PTPN18	PSTPIP1
HOXB8	homeobox
RNF11	RIPK1, STAMBP
MLH3	MLH1, MLH1, MSH4
ANKRD1	CAPN3, CAMK, TP53, ANKRD2, ANKRD23, MYPN, TLN1, FHL2, MYPN, MYPN, YBX1, CASQ2, TP53, TLN1, FHL2
EPN1	REPS2, AP2A2, EPS15
SOCS7	NCK1
ARVCF	CDH15
ATOH1	HES6
IDH2	homodimer, HIF1A
KIF5A	KLC1
LECT2	CD209
CITED1	HSPA8, EP300
MYH1	MYO1A, MYO1H
NRAP	LASP1, LASP1, ACTN2, ACTC1, ACTC1
GSTK1	homodimer
OVGP1	mucin
PALM	BASP1, MARCKS, MARCKSL1
PAX1	MEOX1, MEOX2
PDE6D	ARL2, HRAS, RAP1A
PDE7A	PDE7, PDE7B, PDE4
PDK3	PDK1, PDK2, PDK4
BET1L	GOSR1, STX5, YKT6
EIF3EIP	EIF3A
ZC3HC1	E3
CDK5RAP1	CDK5
MST4	GOLGA2, CTTNBP2NL, CTTNBP2, FAM40A, MOBKL3, PDCD10, STRN3, STRN
BCL11A	COUP-TFI, CASK, TBR1
CPVL	SCPEP1
BANP	NACC1
PINX1	MCRS1, TERF1, TERF1
PBRM1	SMARCA4, SMARCB1, ACTL6A, ACTL6B, SMARCE1, SMARCD1, SMARCD2
NECAP2	AP1G1
ATF7IP	MBD1
DCP1A	DCP2, UPF1, GW128
PTPRK	PCP-2, HER2
PTPRN2	PTPRN, PTPRN, CKAP5, SPTBN4, UBQLN4
RFXAP	RFXANK
RGS10	SAP18, GNAI3
RGS12	GNAI1, GNAI3
RPN2	P53
MTA3	MTA1, MTA2
MIER1	HDAC1
ZNF350	BRCA1
BICD1	RAB6A
AURKC	PLZF, KIF2C, DPY19L2, INCENP
PRDM16	CIDEA, PPARGC1A
LIN7B	ACCN3, GRIN2B, KCNJ12, KCNJ4
MICAL1	NEDD9, RAB1A
TPD52L2	TPD52L1, TPD52
USP4	TRIM21
ZIC2	ZIC3, GLI3
MLLT10	SS18
CCDC6	PPP4C
CSRP3	HDAC4, telethonin, cofilin, HDAC4, ILK, NRAP, MRF4, cofilin
USP11	RANBP9
MYH14	myosin
PICALM	CLTC
RANBP3	RCC1, XPO1
PIK3R3	IRS1
LMO4	LDB1, RBBP8, BRCA1
EIF3D	PHLDA1, EIF3A
VAMP4	AP1M1, STX6, STX16
COG3	COG2, COG1
CAMKK1	CAMK
COX4I2	COX4I1, COX4I1, COX4I1, KRAS
LNX1	PAFAH1B3
HAVCR2	LAG3, HMGB1, CEACAM1, PD-1, CD8
CCT6A	PPP4C
GPAA1	PIGT, PIGK
DDEF2	PTK2B
NOL3	SFRS9
TAF1C	UBTF
SH2D2A	MAP3K2
MAP7	TRPV4
PRC1	TRIM37, CDK1, PLK1
SLC7A7	SLC3A2
CBFA2T2	RUNX1T1
LRRFIP1	FLII
COG7	COG4, COG5
VAPA	VAPB, OSBP, OSBP
TIAF1	TRIB3
DLGAP2	DLG4
TAOK2	MAP2K6, MAP2K3
NRXN2	NRXN1, NRXN3
EIF4E2	ARIH1
RPH3AL	RAB27A
NOS1AP	NOS1, RASD1, LRP1, LRP2, NOS1, RASD1, SYN1
GOLGA5	RAB1A
HCN4	HCN2
PPP1R14A	ZIPK, PPP1R14B, PPP1R14C, PPP1R14D
CDH16	CDH5, CDH8, CDH11
TOM1	TOLLIP, ZFYVE16
ABCF2	CLCN3
LRPPRC	MT-CO1, MT-CO3
AP3S2	AP3B1
KCNMB2	KCNMB1, KCNMB3, KCNMB4
SEC23A	SEC16A, SEC16B, SEC24C
HBXIP	NCOA6
AKAP3	AKAP4, GNA13, PRKAR2A
RGS14	GNAI1, GNAI3
CAMKK2	CAMK1, CAMK4
AHCYL1	ITPR1
CPLX1	SNAP-25, STX1A
RIPK3	RIPK1
CPSF6	WWP1, PLSCR1
ZWINT	ZW10, MIS12, RAB3C
IL1RAPL1	IL1RAP, IL1RAPL2
AKAP11	GSK3B, PPP1CA, PRKAR2A, PRKAR2B, VAPB, AKAP3
AKAP10	PDZK1, PRKAR1A
CLCNKA	BSND, CLCNKB
CSN1S1	SAP130
CYP2A	CYP2A6
DAD1	MCL1
PDCD10	STK25, STRN, STRN3, MOBKL3, CTTNBP2NL, STK24, FAM40A
USP18	ISG15
SLC22A12	PDZK1
DVL3	DAB2, DVL1, PRPF3
EMX2	EMX1, HOXA10, EMX1
FANCB	FANCA, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, FANCL, FANCA, FANCE, FANCF, FANCG, FANCL, FANCD2, FANCI
FAT1	SCRIB, WWTR1, FJX1
FKBP2	ARFGEF1, EPB41L2
RASA3	HCK
NLRP7	MEFV, CASP1
CRTC2	CREB, SNF1LK2, YWHAQ
GABRA3	ADAR, ADAR, ADARB1, ADARB2, SLC12A5
CYFIP1	FMR1, FXR1, FXR2
SNF1LK2	CRTC2
ZFPM2	ZFPM1, GATA4, GATA2, GATA5, GATA6, GATA4, CTBP1, CTBP2, GATA3, GATA4, GATA5, GATA6
RBM9	RBFOX1
ATP6V0A2	ATPase
FBXO4	CUL1
GHITM	Bcl-2
RICTOR	S6K1, MLST8, MAPKAP1, AKT, AKT, FBXW7, c-Myc, c-Myc, RPTOR, RPTOR
IDH3G	IDH1, IDH2, IDH2, IDH3A, IDH3B, IDH1, IDH2, IDH3A, IDH3B
TAF5L	TAF9
CACYBP	SIAH1
PCDH11X	PCDHY
ZNF638	FHL2
ARHGDIG	RHOB
LOXL1	FBLN5, LOXL2, LOXL3, LOXL4
LYL1	TCF3, NFKB1
MYO1A	myosin
HCN1	HCN2
NDUFS1	SOAT1, NDUFA9, HLA-B, GPAA1, STOM, GDI1, MBOAT7, NDUFS2
NDUFV2	GOLM1, FAM114A2, CRMP1, KAT5, SP110
NEO1	PTK2
SCAND1	MZF1
ANAPC5	ANAPC1, ANAPC4, CDC27, PABPC1
CHMP5	CHMP1A
NCKIPSD	NCK1
SF3B14	SF3B1
LSM8	LSM2
PADI3	TCHH
PEG3	SIAH2, SIAH1
PPP1R10	PP1
MYOZ2	ACTN2, MYOZ1, MYOZ1, ACTN2, FLNC, telethonin, LDB3, PPP3CA, ACTN2, PPP3CA, PPP3CA, PPP3CA, PPP3CA
ADAM22	DLG4
DDX56	ATPase
FBLIM1	PLEKHC1, FLNB
LRDD	FADD, DNA-PKcs
PTPN3	YWHAB
HES6	TLE1
IL17RB	IL17C
OTUB1	RNF128, GNB2L1
EIF4ENIF1	EIF4E
NPDC1	E2F1
AGTRAP	GNB2L1
LRRC7	CDH2
PREX1	RAC1
BBS4	DCTN1
SIM1	SIM2
SENP2	NUP153
BCL11B	BCL11A, COUP-TFI
BNIP2	ARHGAP1, Bcl-2, CDC42
SLC10A1	SLC10A2
SPTBN2	ACTR1A, UNC13B
SSR2	SSR1
MED22	MED30
TSPAN4	CD9, ITGA6, CD29, CD81
TPBG	GIPC1
TPD52L1	TPD52L2, TPD52
CENPH	CENPA, CENPC, CENPB, CENPE, KIAA0090
TRAK2	GABRB2
BOLL	DAZ1, DAZL
UCHL3	NEDD8
TFEB	PPARGC1A, MAPK1, TREX1
MAFK	NFE2, NFE2L1, NFE2L2, NFE2L3, BACH1, BACH2
CDK2AP1	CDK2
BCL2L14	BCL2
D2HGDH	L2HGDH
CBFA2T3	AML1, HDAC1, HDAC3, LDB1, PRKAR2A, RUNX1T1, TAL1, TCF3
SYN3	TIMP3
BLZF1	GORASP2
MAP2K1IP1	MAP2K1, MAPK2, ERK1, MAPK2, MAP2K1
EIF3J	EIF3A
MARCO	TLR2, TLR3, NOD2, NALP3
CTNNAL1	AKAP13
TRIM63	GMEB1, SUMO2
OR51T1	GPCR
TCF2	HNF1B
ClC-Kb	CLCNKB
S13	RPS13
TFAP2A	IRF6, CITED2, EP300, P53
VDAC1	hexokinase, VDAC2, VDAC3, Bcl-2, Mcl-1, DYNLT3, PRKCE, HK1, eNOS, Mcl-1, HK
FCGR2B	CD32
GTF2H1	E2F1, ERCC2, TCEA1, XPB
IL2RB	CD25, CISH, SHC1
MTMR2	SBF1
SELENBP1	USP33
PKD2L1	TNNI3
PAPSS2	proteins
PIGQ	PIGH, PIGA, PIGC
ATG12	ATG5, ATG8
DEDD	UBTF, CFLAR, FADD
LONP1	TFAM
NRXN3	NRXN1
CYP7B1	CYP7A1
MED30	MED22
MCFD2	LMAN1
NEK9	NEK6
NPEPPS	SOD1
BAG4	BAG1, APOBEC1, HSPA8, TNFRSF1A
SOCS5	SOCS
BZW1	PSTPIP1, CDC5L
CKAP5	KIF2C, TACC1
MAML1	EP300, NOTCH1
CUL7	RBX1
MELK	CDC25B
SH2D3C	SH2D3A, BCAR3, BCAR1, NEDD9, NEDD9
RBM12	CPNE1
ARFRP1	TNFRSF6B, PSCD1
RCL1	RRP9, UTP6, UTP14A, UTP15
RNF41	USP8
CD2BP2	CD2
C1D	TSNAX, DNA-PKcs
HAX1	IL1A
PITRM1	CCL22, DDX41, DEFB104A, HDHD3, MRPL12, NDUFV2, PRDX6, PRKCSH, RARS2, RIF1, SUCLG2, TEKT3, TERF2, VAPB
TUBGCP2	TUBGCP3, TUBGCP4, TUBGCP5, TUBGCP6
CHRNG	CHRNA1
MRPS30	NFKB2
ACOT2	hexokinase
KDELR2	KDELR1, KDELR3
ATF7	PTP4A1, ATF5
MID2	MID1
PTPRT	PTPRM, PTPRK, PTPRU, FYN, CTNND1, CDH2, STAT3, FYN, CDH2, CTNND1, STAT3
LDB3	MYOZ1
CEP250	NEK2, CEP135
DUSP10	MAPK14, MAPK8
TMC6	TMC8, SLC30A1
LRG1	TGFbeta, ALK1
ABCD2	PEX19
DDX10	NUP98
DTX1	EP300
SYT9	SYNCRIP, TUBB, TRPV1
KLC3	YWHAH
SGOL1	SMC1A, SMC1B, SMC3, RAD21, STAG1, STAG2, PP2A, BUB1, CDK1, WAPAL
TXLNB	STX4
CLSTN1	APBA2
RALY	proteins
TRIM32	ABI2, PIAS4, EIF2C1, PIAS4, ABI2
ERP44	ERO1L
PPRC1	USF2
ARHGAP26	ARHGAP10
TBC1D1	CDC16
SCFD1	USO1
ETHE1	RELA
MYST4	RUNX2
CCNDBP1	GRAP2
ALOX12B	ALOXE3, ALOX15B, ALOXE3
ADAM2	ADAM1
MIZF	DHX9
WIPI2	WIPI1
MAGI3	PTPRB
TSG-6	ITIH1, PTX3
ZFHX3	ATBF1
GRID2	GRID1, GOPC, GRIK2, PTPN4, GRIA1, VPREB3, GRID1
HELLS	helicase
SNX5	FANCA, FANCA
CYP2S1	CYP2A6, CYP2A13, CYP2B6, CYP2F1
NT5C	NT5M, NT5M
DAOA-AS1	DAOA
KIAA1267	CCDC85B
TRIM23	TRIM31, TRIM29, PSCD1
ARL4D	ARL4A
IARS	EPRS
IDH3B	IDH1, IDH2, IDH2, IDH3A, IDH3G, IDH1, IDH2, IDH3A, IDH3G
IGBP1	PPP4C, PPP6C, PPP2CA
MPV17	DNA-PKcs
MYT1	PIN1
NDUFS7	NDUFS8, MT-ND1
NDUFA5	ATP5A1, ATP5A1, NDUFB1, NDUFB9, NDUFB10
NDUFB8	NDUFB7
OSBP	JAK2, STAT3, VAPA, SACM1L
OXCT1	homodimer
MINK1	NCK1
TFB1M	TFAM, TFAM
NIP7	NOL8
ANAPC7	ANAPC1, ANAPC4, CDC27, CDC20
ARID4B	SIN3A
DCUN1D1	CAND1, CUL1, CUL2, CUL3, RBX1
RRN3	TAF1B
FNBP1L	CDC42, N-WASP
LRRC8D	LRRC8A, LRRC8B, LRRC8C, LRRC8E, LRRC8A
FANCI	FANCA, FANCB, FANCC, FANCD1, FANCD2, FANCE, FANCF, FANCG, FANCJ, FANCL, FANCM, FANCN
LIN7C	DLG1, KCNJ12, KCNJ4
PI4K2A	PI4KA, PI4KB, PI4K2B
ALS2CR2	XIAP
ASF1B	TLK2, CHAF1B, TLK1, CHAF1A
UTP6	RCL1, RRP9, UTP14A, UTP15
PRKRIR	STK4, DNAJC3
PTGFRN	CD9, CD81
CTTNBP2NL	FAM40A, MOBKL3, PDCD10, PPP2CA, PPP2R1A, STK24, STRN3, STRN
EMSY	ZMYND11, BRCA2, CBX1
KNL1	MIS12, NDC80, MIS12, BUB1, ZWINT
RAB25	RAB11FIP2, RAB11FIP5
NIF3L1	COPS2
SCNN1D	SCNN1A, SCNN1B, SCNN1G, SCNN1A, SCNN1G
SMARCA1	helicase, ATPase
SNAPC3	SNAPC1
AKTIP	AKT1, AKT1
RGS18	GNAI3
SMYD3	POLR2A, MAP3K2
MTMR9	MTMR6
SSR4	IDH3G
VAMP1	SNAP25
TBL1X	HDAC3
TEAD3	TEAD1, TEAD2, TEAD4
CCT3	PPP4C
DNAJC7	RAD9A
UBE2E1	NEDD4
XPNPEP1	XPNPEP2
MZF1	SCAND1
ZNF74	POLR2A
SAP130	CSN1S1, CUL2, SIN3A
SMC6	SMC5
SNIP1	EP300
SHCBP1	SHC1
HDAC11	HDAC6
JADE1	OCT4
MED28	MED26
ULBP2	NKG2D
ULBP1	NKG2D
TNKS2	GRB14, TERF1
CAPZA2	CAPZB, CAPZA1, CAPZA1, S100A1, S100A1, MYBPC3, TNNT2, MYL2, ACTA1, ACTC1, S100A1
IFT88	BAT2
BAP1	homeobox, ASXL1, AHCYL2, ANAPC7, ANKRD17, ASXL1, ASXL2, BRCA1, CBX1, CBX3, EIF4EBP3, FOXK1, FOXK2, HAT1, HCFC1, HIST2H2AC, HSPA2, IPO4, IPO5, KDM1B, PPM1G, PSME3, RBBP7, UBE2O
PIP4K2B	TNFRSF1A
STK24	PDCD10, TRAF3IP3, STRN3, MOBKL3, STRN, SLMAP, PPP2R1A, CTTNBP2NL, FAM40A, STRN4
ANP32E	H2AFZ, ANP32A, ANP32B, ANP32C, ANP32D
SBF2	MTM1, SBF1
MED25	MED4
STARD3NL	MLN64
PRAM1	TRIM27
TMTC4	TMTC2, TMTC2
STX16	VAMP4
TNFRSF18	CD25, CD4
SUCLA2	SUCLG1, SUCLG2, SUCLG1, SUCLG2
RNF8	UBE2E1, UBE2E2, UBE2E3, PARP1, H2AFX, MDC1, MDC1, CHD4, NEDD8
TNKS1BP1	TNKS
RRP9	RCL1, UTP6, UTP14A, UTP15
REPS2	EPN1, EPS15, RALBP1
PEX16	PEX19
WDR57	PRPF8, EFTUD2
HOMER3	TRPC1, RYR1, HOMER1, HOMER2
HOMER2	RYR1, HOMER1, HOMER3
SH3BP5	MAPK8
TP53INP1	HIPK2
RAPGEF2	RAP1A, RALGDS
NUAK1	MT1-MMP, MMP-2, MMP-9, CDK4, USP9X
UBAP2L	BAT2
BCL2L10	APAF1, CASP9
PARP2	XRCC1
EBI3	IL12A
PDZK1IP1	PDZK1
CTDSPL	SNAI1
SPRY1	SPRED1
SAP18	POLE2, RGS10
SIRPB1	TYROBP
MRVI1	ITPR1, PRKG1
TRIM22	UBE2D2, APOBEC3G
ZNF238	DNMT3A
ARPC1A	ARPC1B
TAF6L	TAF9
CORIN	PCSK6
POLD3	PCNA
JARID1B	FOXG1, PAX9
UTP14A	RCL1, RRP9, UTP6, UTP15
CD3EAP	POLR1E, POLR1C
RAB10	AP1S1
SUGT1	S100A6
PLEKHC1	FERMT2
LILRA3	LILRB1
TRIM31	TRIM23
FGFR1OP	FGFR1
HRASLS3	UCP1
MED8	MED26
SLITRK1	SLIT1, NTRK1
C1QTNF5	C1QA
COX10	FAM136A
CPA3	CPA1, CPA2, chymase
CRIP2	CRIP1
HSPB6	HSPB1, HSP27, HSPB5
EME1	MUS81
EXOC8	RALB
DLX2	DLX5, MSX1
DUSP7	MAPK3, MAPK8, MAPK14, CDC25A
EIF4EBP2	EIF4E
EZH1	EZH2
PHLDA1	RPL14, EIF3D, PABPC4
APOBEC3A	APOBEC3G
HIPK1	P53
PAXIP1	PAX2, TP53BP1
USP33	DIO2, SELENBP1
PDZD2	PKP4
SULF1	sulfatase, SULF2
ANKS1A	EPHA2, EPHA8
RYBP	E2F2, E2F3, RING1, YY1
CELA3B	CELA1, kallikrein
PATZ1	RNF4
DAPK2	DAPK3
KCNE4	KCNQ1, KCNQ4, KCNQ2, KCNQ3, KCNQ5, KCNQ4
EID1	EP300
BCL2L13	Bcl-2, CFLAR, FADD, BCL2L1
CLDN15	CLDN10
RAD54B	RAD51, PARP1
ARIH1	EIF4E2, UBE2L3
COG4	COG7, COG2, COG1, COG5
MOBKL3	CTTNBP2NL, CTTNBP2, FAM40A, PDCD10, PPP2CA, STK24, STK25, STRN3, STRN, TRAF3IP3
YIPF3	YIPF4
POLDIP2	PCNA
STAP1	C19orf2
ARFGAP3	ARF1
MYCBP	AKAP1, C3orf15
GLE1L	NUP155
GRIK5	DLG4, GRIK2
PCLO	GIT1
OSTM1	RGS19
PACSIN3	PACSIN1, PACSIN2
HOXC10	homeobox, MLL3, MLL4
IGHV@	IGH@
UCRC	MT-CYB, UQCRC1, UQCRC2, UQCRFS1, UQCRB, UQCRH
GPSM2	GNAI2
ASCL2	NCOA6, RBBP5
LFNG	FGF-8
LMX1A	homeobox, TCF3, LHX3
MDFI	C9orf86, GNAI2, SIX1
MLLT1	CBX8
MYL6	ATPase
ATP5D	ATP5I, ATP5O, PUS1, NDUFB5, GTPBP6, ATP5L, ATP5J
MYO5B	RAB11FIP2
PAFAH1B2	PAFAH1B1, PAFAH1B1, PAFAH1B3
CHMP1A	VPS4A
ARHGEF3	RHOA, RHOB
UTP18	RCL1, RRP9, UTP14A, UTP15
INSIG2	MCHR2, INSIG1
TIMMDC1	TIMM17A, CCNG2, TIMP3, FATE1, ECSIT, TMEM126B, ACAD9, NDUFAF1
PFTK1	SEPT8
PIGC	PIGQ
PIGF	VEGF
ACTL6B	CTBP1
EMCN	mucin
CAB39	STK11, LYK5
POLE3	SMARCA5
SMCR7L	DNM1L, FIS1
CCHCR1	POLR2C, TOP3B, TRAF4, HLA-C, TCF19, EEF1D, EEF1B2
AFTPH	p200
RCBTB1	RCC1
KIRREL	KIRREL3, KIRREL2
ADI1	CD81
RHOT1	KIF5B, RHOT2, TRAK1, TRAK2, ARMCX3, DISC1, MGARP, MFN1, MFN2, TRAK1, TRAK2, PINK1
PEX26	PEX1, PEX6, SUFU
VPS11	VPS18, VPS33A, STX7
LRRC8A	LRRC8B, LRRC8C, LRRC8D, LRRC8E
ERO1LB	P4HB
DUSP22	MAPK1, MAPK8
RGL2	HRAS
RABIF	RAB8A
RBBP5	ASCL2, MLL3, NCOA6
CIAPIN1	BCL2
GJA9	GJD2
GATAD2B	MBD3, RBBP7, RBBP4
VPS18	VPS11, STX7
SPTBN4	PTPRN, DISC1
MARK4	USP9X
PLEKHA1	MPDZ
RNR3	RNR1
RP9	snRNP, SFRS2
MRPL12	RPL7, RPL12, RPL10
ATXN8OS	KLHL1
RINT1	ZW10
SH2D4A	MAGEA11
PARVG	PARVA, PARVB
KLF9	HMOX1, NFE2L2
SNAPC1	SNAPC4, SNAPC3
SNAPC2	SNAPC4
TCF20	RNF4
TEAD4	TEAD1, TEAD2, TEAD3
FMNL1	PFN2, RAC1, FMNL2, FMNL3
CA8	ITPR1
ZIC1	GLI1, GLI3
ZNF10	TRIM28
TMUB2	BCL2L13, SGTA, UBQLN1
BRCC3	BRCA2, RAD51, BRCA1, P53, BARD1
TMEM43	ARVD
C1orf166	MUL1
PALB2	CHEK2, BRCA1, RAD51, RAD51L1, RAD51C, RAD51L3, XRCC2, RAD51, BRCA2, BRCA2
FBXO11	BCL6, SNAI1
STARD5	STARD4, SREBP1
DUSP16	MAPK14, MAPK8IP1
CDCA7	c-Myc
LOXL4	LOXL1, LOXL2, LOXL3
NBPF3	ALPL, RAP1GAP, NBPF10, NBPF1, NBPF16, C1orf19, ANK1, EWSR1
RAB11FIP4	RAB11A
PARD6B	CDC42, RAC1, RHOQ
MYPN	NEBL, ACTN2, ACTN2, ANKRD1, ANKRD23, ACTN2, ANKRD1
SYTL1	RAB27A
GTF2F1	CTDP1, GTF2H4, HNRPU, MED21, POLR2A, TAF11, TAF1
GTF2F2	POLR2E, HTATSF1
L11	RPL11
L13	RPL13, RPL13A, OR2L13
MLL1	KMT2A
IP-10	CXCL10
CBR3	CBR1
MYOM1	MYOM2, myosin, MYOM2, MYOM2, ITGB1, ITGB3, ITGA2B, MYH7, PNKD
AKAP4	AKAP3, PRKAR1A
HERC2	OCA2
LSM10	LSM3
RHPN2	RHOB
TAF1B	RRN3
UBE2M	NEDD8, PRKAR1A, UBE1C
ZMYM3	ZMYM3
RAB11B	RAB11A, RAB25
NUMBL	MAP3K7IP2
SOCS6	SOCS
LRSAM1	TSG101
MTDH	HIF1A, SND1, TFCP2, MMP9
CRIPT	DLG3
PMPCB	PMPCA, PMPCA, PMPCA
TBPL1	GTF2A1
GOSR2	USO1, STX5
APOBEC3B	APOBEC1
ZFYVE16	TOM1
DAZAP2	DAZ1
CEP170	IFT81
DOPEY2	CBR3, MORC3, MON2, TRIP12, ATP9A, ARL1, UBE3A, HERC5, UBE3C, UBR5
HNRPDL	HNRPD
SH2B3	CD117
SCAMP3	NEDD4
SGK2	SGK, PI3K
TRIB1	TRIB2, TRIB3
WDR68	DYRK1A
B3GALT5	mucin
ANAPC10	CDC27
COG5	COG7, COG4
PAIP1	PABPC1
POLR3C	GTF3C4
AP4B1	AP4E1, AP4M1, AP4S1, AP4M1
IQGAP2	CDC42, RAC1
ASCC3	RELA
CCDC85B	C19orf25, KIAA1267
CD160	HVEM, PD-1
